 iter	                cost val	     grad. norm
    0	+1.3732786258014873e+07	1.08746092e+03
    1	+1.3731698835684454e+07	1.08738956e+03
    2	+1.3727349765035531e+07	1.08710483e+03
    3	+1.3709963456712361e+07	1.08597762e+03
    4	+1.3640582592224050e+07	1.08165806e+03
    5	+1.3365974081129905e+07	1.06748484e+03
    6	+1.2323049299022697e+07	1.05332092e+03
    7	+8.9116055226241164e+06	1.03401435e+03
    8	+2.7079762671454642e+06	5.64157252e+02
    9	+6.9975591010353900e+05	3.12851629e+02
   10	+2.4614613319958912e+05	1.90625565e+02
   11	+1.8061881490028338e+05	1.64595067e+02
   12	+2.4906825736219107e+04	4.44098107e+01
   13	+9.9471049876291345e+03	2.11278980e+01
   14	+7.0360634786927931e+03	1.05460621e+01
   15	+6.1611488557548000e+03	1.31805419e+01
   16	+4.7627470829764370e+03	1.23641385e+01
   17	+4.4576832869074497e+03	1.91475442e+01
   18	+3.3853233960913922e+03	1.48849046e+01
   19	+2.0158308815517428e+03	1.11859560e+01
   20	+1.6936633217645935e+03	1.27399973e+01
   21	+8.5264079106100667e+02	5.88404410e+00
   22	+8.2026108230166938e+02	9.80482740e+00
   23	+6.9746653308334385e+02	8.83397818e+00
   24	+3.2265392863122815e+02	5.10929439e+00
   25	+1.8397956194165553e+02	5.28391688e+00
   26	+1.2111188750714514e+02	4.76237915e+00
   27	+9.6262687947435808e+00	9.68483812e-01
   28	+3.9874470246670426e+00	5.95110922e-01
   29	+1.8449985505388748e+00	4.18308190e-01
   30	+7.8165544353357330e-01	2.06601728e-01
   31	+3.6560102939010225e-01	2.17136715e-01
   32	+2.3706372196402897e-01	1.93517990e-01
   33	+8.2813435948595235e-02	1.01167108e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 3.483680 [s] (excludes statsfun)
