 iter	                cost val	     grad. norm
    0	+1.3732786258014873e+07	4.56426428e+12
    1	+1.3732786257967986e+07	4.56426428e+12
    2	+1.3732786257921111e+07	4.56426428e+12
    3	+1.3732786257874217e+07	4.56426428e+12
    4	+1.3732786257827319e+07	4.56426428e+12
    5	+1.3732786257780448e+07	4.56426428e+12
    6	+1.3732786257733557e+07	4.56426428e+12
    7	+1.3732786257686680e+07	4.56426428e+12
    8	+1.3732786257639762e+07	4.56426428e+12
    9	+1.3732786257592883e+07	4.56426428e+12
   10	+1.3732786257546011e+07	4.56426428e+12
   11	+1.3732786257499121e+07	4.56426428e+12
   12	+1.3732786257452242e+07	4.56426428e+12
   13	+1.3732786257405348e+07	4.56426428e+12
   14	+1.3732786257358477e+07	4.56426428e+12
   15	+1.3732786257311571e+07	4.56426428e+12
   16	+1.3732786257264685e+07	4.56426428e+12
   17	+1.3732786257217810e+07	4.56426428e+12
   18	+1.3732786257170916e+07	4.56426428e+12
   19	+1.3732786257124057e+07	4.56426428e+12
   20	+1.3732786257077141e+07	4.56426428e+12
   21	+1.3732786257030273e+07	4.56426428e+12
   22	+1.3732786256983388e+07	4.56426428e+12
   23	+1.3732786256936502e+07	4.56426428e+12
   24	+1.3732786256889619e+07	4.56426428e+12
   25	+1.3732786256842736e+07	4.56426428e+12
   26	+1.3732786256795842e+07	4.56426428e+12
   27	+1.3732786256748950e+07	4.56426428e+12
   28	+1.3732786256702077e+07	4.56426428e+12
   29	+1.3732786256655183e+07	4.56426428e+12
   30	+1.3732786256608315e+07	4.56426428e+12
   31	+1.3732786256561421e+07	4.56426428e+12
   32	+1.3732786256514536e+07	4.56426428e+12
   33	+1.3732786256467648e+07	4.56426428e+12
   34	+1.3732786256420765e+07	4.56426428e+12
   35	+1.3732786256373890e+07	4.56426428e+12
   36	+1.3732786256326992e+07	4.56426428e+12
   37	+1.3732786256280117e+07	4.56426428e+12
   38	+1.3732786256233234e+07	4.56426428e+12
   39	+1.3732786256186344e+07	4.56426428e+12
   40	+1.3732786256139468e+07	4.56426428e+12
   41	+1.3732786256092586e+07	4.56426428e+12
   42	+1.3732786256045692e+07	4.56426428e+12
   43	+1.3732786255998807e+07	4.56426428e+12
   44	+1.3732786255951924e+07	4.56426428e+12
   45	+1.3732786255905027e+07	4.56426428e+12
   46	+1.3732786255858161e+07	4.56426428e+12
   47	+1.3732786255811282e+07	4.56426428e+12
   48	+1.3732786255764382e+07	4.56426428e+12
   49	+1.3732786255717520e+07	4.56426428e+12
   50	+1.3732786255670609e+07	4.56426428e+12
   51	+1.3732786255623734e+07	4.56426428e+12
   52	+1.3732786255576856e+07	4.56426428e+12
   53	+1.3732786255529955e+07	4.56426428e+12
   54	+1.3732786255483078e+07	4.56426428e+12
   55	+1.3732786255436186e+07	4.56426428e+12
   56	+1.3732786255389314e+07	4.56426428e+12
   57	+1.3732786255342402e+07	4.56426428e+12
   58	+1.3732786255295545e+07	4.56426428e+12
   59	+1.3732786255248651e+07	4.56426428e+12
   60	+1.3732786255201751e+07	4.56426428e+12
   61	+1.3732786255154870e+07	4.56426428e+12
   62	+1.3732786255107969e+07	4.56426428e+12
   63	+1.3732786255061086e+07	4.56426428e+12
   64	+1.3732786255014213e+07	4.56426428e+12
   65	+1.3732786254967317e+07	4.56426428e+12
   66	+1.3732786254920445e+07	4.56426428e+12
   67	+1.3732786254873544e+07	4.56426428e+12
   68	+1.3732786254826671e+07	4.56426428e+12
   69	+1.3732786254779777e+07	4.56426428e+12
   70	+1.3732786254732911e+07	4.56426428e+12
   71	+1.3732786254686005e+07	4.56426428e+12
   72	+1.3732786254639123e+07	4.56426428e+12
   73	+1.3732786254592236e+07	4.56426428e+12
   74	+1.3732786254545344e+07	4.56426428e+12
   75	+1.3732786254498474e+07	4.56426428e+12
   76	+1.3732786254451595e+07	4.56426428e+12
   77	+1.3732786254404690e+07	4.56426428e+12
   78	+1.3732786254357811e+07	4.56426428e+12
   79	+1.3732786254310930e+07	4.56426428e+12
   80	+1.3732786254264040e+07	4.56426428e+12
   81	+1.3732786254217159e+07	4.56426428e+12
   82	+1.3732786254170282e+07	4.56426428e+12
   83	+1.3732786254123390e+07	4.56426428e+12
   84	+1.3732786254076498e+07	4.56426428e+12
   85	+1.3732786254029628e+07	4.56426428e+12
   86	+1.3732786253982734e+07	4.56426428e+12
   87	+1.3732786253935864e+07	4.56426428e+12
   88	+1.3732786253888961e+07	4.56426428e+12
   89	+1.3732786253842093e+07	4.56426428e+12
   90	+1.3732786253795203e+07	4.56426428e+12
   91	+1.3732786253748324e+07	4.56426428e+12
   92	+1.3732786253701456e+07	4.56426428e+12
   93	+1.3732786253654560e+07	4.56426428e+12
   94	+1.3732786253607675e+07	4.56426428e+12
   95	+1.3732786253560785e+07	4.56426428e+12
   96	+1.3732786253513906e+07	4.56426428e+12
   97	+1.3732786253467025e+07	4.56426428e+12
   98	+1.3732786253420131e+07	4.56426428e+12
   99	+1.3732786253373262e+07	4.56426428e+12
  100	+1.3732786253326379e+07	4.56426428e+12
  101	+1.3732786253279498e+07	4.56426428e+12
  102	+1.3732786253232617e+07	4.56426428e+12
  103	+1.3732786253185727e+07	4.56426428e+12
  104	+1.3732786253138844e+07	4.56426428e+12
  105	+1.3732786253091952e+07	4.56426428e+12
  106	+1.3732786253045063e+07	4.56426428e+12
  107	+1.3732786252998190e+07	4.56426428e+12
