 iter	                cost val	     grad. norm
    0	+1.3732786258014873e+07	1.08746092e+03
    1	+7.1056849477695785e+06	1.00467874e+03
    2	+9.4999142083818861e+05	3.00857012e+02
    3	+1.6797801649750766e+05	1.20800192e+02
    4	+4.2109743905568750e+04	5.08685107e+01
    5	+1.6792092140940258e+04	2.81831722e+01
    6	+1.0709567943564651e+04	1.81585963e+01
    7	+8.9912710623161911e+03	1.38751107e+01
    8	+8.1285587691363089e+03	1.07338481e+01
    9	+7.5056387127047419e+03	9.68427150e+00
   10	+7.0740607772155217e+03	7.55286043e+00
   11	+6.6484704546682442e+03	8.03044887e+00
   12	+6.3371056357524303e+03	6.13043923e+00
   13	+5.8704470835590546e+03	8.69949241e+00
   14	+5.5741479381663903e+03	6.58879056e+00
   15	+5.2199004492310760e+03	8.28131272e+00
   16	+4.9236240201594219e+03	6.84399023e+00
   17	+4.5596542876340591e+03	8.69328453e+00
   18	+4.2761190290724371e+03	6.57398078e+00
   19	+3.8133507721416663e+03	9.52186774e+00
   20	+3.5294708291626221e+03	5.95368416e+00
   21	+2.8897255446867925e+03	8.85549241e+00
   22	+2.7001446051559551e+03	4.51007157e+00
   23	+2.4535953732949665e+03	7.21313495e+00
   24	+2.3301170068471529e+03	3.72401952e+00
   25	+2.0541893493189718e+03	6.16531381e+00
   26	+1.9457499978210751e+03	3.69944681e+00
   27	+1.7314031188352328e+03	5.61880497e+00
   28	+1.6177002689241358e+03	3.84963073e+00
   29	+1.4327721036338748e+03	5.74959766e+00
   30	+1.3231254953397122e+03	4.50135467e+00
   31	+1.2200527202401026e+03	5.62593928e+00
   32	+1.1339008842348817e+03	4.56599129e+00
   33	+1.0264696220674405e+03	6.09942929e+00
   34	+9.3651856442280666e+02	4.28797740e+00
   35	+8.0391432373588520e+02	6.78327246e+00
   36	+7.1402176824462254e+02	3.56877535e+00
   37	+5.4873884500610359e+02	6.75350644e+00
   38	+4.7898678171798178e+02	2.34997275e+00
   39	+3.3786233296266255e+02	2.25646217e+00
   40	+3.2252166700798000e+02	1.87153008e+00
   41	+3.0378592987660204e+02	2.26603231e+00
   42	+2.8588863709041584e+02	1.84275744e+00
   43	+2.5789609928683262e+02	2.26361264e+00
   44	+2.3212892802752833e+02	1.77557681e+00
   45	+1.8556921092778907e+02	1.93280244e+00
   46	+1.4607366769791054e+02	1.84088507e+00
   47	+7.5278252568045289e+01	2.08162396e+00
   48	+1.8261632286039095e+01	1.19026935e+00
   49	+6.2465123291199784e+00	6.88370504e-01
   50	+2.4261108237590605e+00	4.12332238e-01
   51	+1.0110508122818354e+00	2.67051766e-01
   52	+4.4075295468593395e-01	1.71365195e-01
   53	+1.9889273293571025e-01	1.16073629e-01
   54	+9.2148733611258166e-02	7.71669347e-02
User defined stopfun criterion triggered. See options.stopfun.
Total time is 8.111856 [s] (excludes statsfun)
