 iter	                cost val	     grad. norm
    0	+1.3732786258014873e+07	1.08746092e+03
    1	+1.3731698835684454e+07	1.08738956e+03
    2	+1.3727349765035510e+07	1.08710483e+03
    3	+1.3709963456712034e+07	1.08597762e+03
    4	+1.3640582592224352e+07	1.08165806e+03
    5	+1.3365974081133246e+07	1.06748484e+03
    6	+1.2323049299209878e+07	1.05332092e+03
    7	+8.9143235965363383e+06	1.02451512e+03
    8	+2.4226132745267493e+06	5.12639869e+02
    9	+9.1296131370338576e+05	3.78415401e+02
   10	+7.5464069238394382e+05	2.86457690e+02
   11	+3.3449391001030628e+05	1.58439297e+02
   12	+9.5664188497455383e+04	1.11979949e+02
   13	+5.9158832426359346e+04	6.67274746e+01
   14	+2.7981039450666616e+04	5.28559398e+01
   15	+2.3965256570339301e+04	3.86535506e+01
   16	+1.3692343670000395e+04	2.35471926e+01
   17	+9.4370068654530078e+03	2.15056568e+01
   18	+9.3566268072104613e+03	1.84246834e+01
   19	+9.0440387129812370e+03	1.77297538e+01
   20	+7.9061765202718298e+03	1.49406068e+01
   21	+5.1391979943295719e+03	9.39664878e+00
   22	+3.8295290851942582e+03	1.07914920e+01
   23	+3.5394784807347887e+03	1.36657785e+01
   24	+2.6688920579673841e+03	1.15054921e+01
   25	+1.0266768240215504e+03	7.18189854e+00
   26	+5.9446927490811549e+02	4.97686151e+00
   27	+3.8176544219585196e+02	5.50324457e+00
   28	+2.8461254871855022e+02	4.63068294e+00
   29	+5.6501259072745199e+01	1.90490096e+00
   30	+2.0572928997073092e+01	1.80478838e+00
   31	+1.2492738882066288e+01	1.04163843e+00
   32	+5.1988085357570970e+00	6.81381806e-01
   33	+4.0696475075999006e+00	7.84396892e-01
   34	+3.4033846828900640e+00	5.83729398e-01
   35	+1.3695137080480189e+00	3.29141316e-01
   36	+6.8771680720543804e-01	3.08997713e-01
   37	+5.7299806428713329e-01	2.29116913e-01
   38	+2.1612815165966140e-01	1.32458561e-01
   39	+1.2093394493719917e-01	1.13497666e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 5.125687 [s] (excludes statsfun)
