 iter	                cost val	     grad. norm
    0	+1.3732786258014873e+07	1.08746092e+03
    1	+1.3731698849743275e+07	1.08738958e+03
    2	+1.3727350056721438e+07	1.08710514e+03
    3	+1.3709968174164038e+07	1.08598264e+03
    4	+1.3640643585038682e+07	1.08173553e+03
    5	+1.3365975502547974e+07	1.06860832e+03
    6	+1.2273062888035879e+07	1.07964222e+03
    7	+8.0914238898500763e+06	1.24441461e+03
    8	+4.6466517297951048e+06	1.41350647e+03
    9	+4.0719162385057616e+06	1.56211433e+03
   10	+3.6950270723015154e+06	3.94333695e+03
   11	+3.5128610232634484e+06	2.87376184e+03
   12	+3.3941669960828684e+06	1.98204204e+03
   13	+3.3760223206451954e+06	3.29502266e+03
   14	+3.3080777151840189e+06	1.59582914e+03
   15	+3.2772120346595915e+06	1.31062882e+03
   16	+3.2431860948874690e+06	2.46071569e+03
   17	+3.1993968419707082e+06	1.08105986e+03
   18	+3.1863163581907558e+06	2.40475422e+03
   19	+3.1457187936032075e+06	3.30577921e+03
   20	+3.0799670758739924e+06	9.33615017e+02
   21	+3.0661328629811490e+06	1.70665186e+03
   22	+3.0416362083799415e+06	1.19739222e+03
   23	+3.0277929034814732e+06	1.05901916e+03
   24	+3.0179650787425917e+06	2.14700261e+03
   25	+2.9993260759859458e+06	1.29460973e+03
   26	+2.9854308116284013e+06	1.02647006e+03
   27	+2.9833150834568413e+06	3.81284131e+03
   28	+2.9743538601785777e+06	3.45631047e+03
   29	+2.9598484604362324e+06	2.82744813e+03
   30	+2.9232026541138203e+06	9.21243832e+02
   31	+2.9131559917622581e+06	1.19153497e+03
   32	+2.9023378021534923e+06	1.51084685e+03
   33	+2.8865278745842613e+06	7.07385716e+02
   34	+2.8440719754911922e+06	1.51074383e+03
   35	+2.8288400701577044e+06	6.95275501e+02
   36	+2.8036712161005177e+06	2.33927225e+03
   37	+2.7773560886120498e+06	8.12007713e+02
   38	+2.7697499094313788e+06	1.46007707e+03
   39	+2.7573433247126723e+06	6.37505983e+02
   40	+2.7163012991165454e+06	7.53874144e+02
   41	+2.7091933603550084e+06	1.05243325e+03
   42	+2.7027694036126812e+06	1.47966885e+03
   43	+2.6910991288552503e+06	6.09847644e+02
   44	+2.6613805740392571e+06	1.46996025e+03
   45	+2.5743080726274280e+06	1.59139674e+03
   46	+2.5678188880575905e+06	1.76616123e+03
   47	+2.5549125440605180e+06	7.15162108e+02
   48	+2.5493259521326572e+06	8.78445611e+02
   49	+2.5322329762719865e+06	6.46964369e+02
   50	+2.5266885842757844e+06	1.18613308e+03
   51	+2.5181116638883566e+06	9.69106825e+02
   52	+2.5118375184001336e+06	7.32873968e+02
   53	+2.5056693626836338e+06	8.33141709e+02
   54	+2.5001835689828610e+06	6.54664279e+02
   55	+2.4958923216257975e+06	1.73034683e+03
   56	+2.4861360011851387e+06	9.06065661e+02
   57	+2.4829507454516441e+06	1.23859026e+03
   58	+2.4707767654208615e+06	7.55717958e+02
   59	+2.4658156521854298e+06	7.50497446e+02
   60	+2.4629056713062101e+06	1.56187160e+03
   61	+2.4557543480222439e+06	9.34323052e+02
   62	+2.4502836024705661e+06	7.51725273e+02
   63	+2.4318072257561190e+06	5.77409782e+02
   64	+2.4264219743686849e+06	1.43753549e+03
   65	+2.4142339131764956e+06	6.80649556e+02
   66	+2.4095885635185842e+06	8.53385550e+02
   67	+2.4048078959763180e+06	1.22184085e+03
   68	+2.3966033549259827e+06	5.26462890e+02
   69	+2.3858185917566512e+06	2.26398134e+03
   70	+2.3679079886638531e+06	6.46026340e+02
   71	+2.3675413266508537e+06	1.70682045e+03
   72	+2.3658870805288679e+06	1.63377476e+03
   73	+2.3613869409926925e+06	1.23872751e+03
   74	+2.3537782925130809e+06	6.22951172e+02
   75	+2.3240106450167955e+06	6.79013482e+02
   76	+2.3185966715531340e+06	1.07506424e+03
   77	+2.3136723343909108e+06	9.70038024e+02
   78	+2.3109851854082341e+06	1.33284396e+03
   79	+2.3044181351510268e+06	6.66062851e+02
   80	+2.3017355848124479e+06	1.16986724e+03
   81	+2.2917599534714445e+06	5.97868541e+02
   82	+2.2874955737612317e+06	8.37933183e+02
   83	+2.2832404284814666e+06	1.22510633e+03
   84	+2.2757028236803124e+06	4.89766335e+02
   85	+2.2605577672836790e+06	1.85494795e+03
   86	+2.2531696910234494e+06	1.52333315e+03
   87	+2.2470769358296525e+06	1.26403209e+03
   88	+2.2411364838243779e+06	8.96180153e+02
   89	+2.2368062172915554e+06	7.98009425e+02
   90	+2.2328745394543135e+06	5.72578981e+02
   91	+2.2299156727736387e+06	1.61514474e+03
   92	+2.2228305120730484e+06	8.58867454e+02
   93	+2.2205089526688373e+06	1.09944359e+03
   94	+2.2120496829904607e+06	5.82363357e+02
   95	+2.2083800222301674e+06	8.09371081e+02
   96	+2.2048385763386767e+06	1.19559429e+03
   97	+2.1982724424483236e+06	4.71243519e+02
