iter	                cost val	     grad. norm
    0	+1.3732786258014873e+07	1.08746092e+03
    1	+7.1056849477695785e+06	1.00467874e+03
    2	+3.3982387267584670e+06	6.74680946e+02
    3	+4.3319242466013657e+05	2.00894799e+02
    4	+8.1849982801963604e+04	7.60231827e+01
    5	+2.4818167656850594e+04	3.79619396e+01
    6	+9.5102595210740874e+03	1.45923660e+01
    7	+7.2880552416749579e+03	9.57401254e+00
    8	+6.4979180635401262e+03	6.64140109e+00
    9	+5.9440921414033655e+03	7.63770438e+00
   10	+5.3233086011234627e+03	9.34364808e+00
   11	+4.4476158160184777e+03	9.93006277e+00
   12	+3.1386543249634597e+03	9.05045436e+00
   13	+1.9078198815138126e+03	7.04230480e+00
   14	+1.1520844730071665e+03	5.55145696e+00
   15	+6.6776756190457513e+02	4.59175752e+00
   16	+3.6404950130702116e+02	3.66875104e+00
   17	+2.0013859454322645e+02	2.70421563e+00
   18	+9.0756442388094769e+01	2.37339351e+00
   19	+3.4472803932177285e+01	1.59588349e+00
   20	+8.3178498465292101e+00	8.01965806e-01
   21	+1.7810744445829614e+00	3.90883081e-01
   22	+3.7562677035439596e-01	1.71372826e-01
   23	+8.0014693127877706e-02	8.41749070e-02
User defined stopfun criterion triggered. See options.stopfun.
Total time is 4.167658 [s] (excludes statsfun)
