 iter	                cost val	     grad. norm
    0	+1.3732786258014873e+07	1.08746092e+03
    1	+1.3731698849743275e+07	1.08738958e+03
    2	+1.3727350056721441e+07	1.08710514e+03
    3	+1.3709968174164129e+07	1.08598264e+03
    4	+1.3640643585038081e+07	1.08173553e+03
    5	+1.3365975502561755e+07	1.06860832e+03
    6	+1.2273062888364460e+07	1.07964222e+03
    7	+7.8671230517494567e+06	1.34949536e+03
    8	+5.5755727048214665e+06	6.59629981e+03
    9	+5.1160689930020133e+06	3.62835311e+03
   10	+5.0130132150422744e+06	3.74088993e+03
   11	+4.9655889101072699e+06	3.35995888e+03
   12	+4.9458740379244443e+06	3.24560765e+03
   13	+4.9379623243020494e+06	3.24507434e+03
   14	+4.9348391196117476e+06	3.24688278e+03
   15	+4.9336151194951925e+06	3.24785067e+03
   16	+4.9331368413082603e+06	3.24826661e+03
   17	+4.9329501725748703e+06	3.24843461e+03
   18	+4.9328773504776265e+06	3.24850100e+03
   19	+4.9328489466527030e+06	3.24852703e+03
   20	+4.9328378686863938e+06	3.24853720e+03
   21	+4.9328335482125506e+06	3.24854117e+03
   22	+4.9328318632195955e+06	3.24854271e+03
   23	+4.9328312060718965e+06	3.24854332e+03
   24	+4.9328309497845341e+06	3.24854355e+03
   25	+4.9328308498326195e+06	3.24854365e+03
   26	+4.9328308108514454e+06	3.24854368e+03
   27	+4.9328307956488170e+06	3.24854370e+03
   28	+4.9328307897198023e+06	3.24854370e+03
   29	+4.9328307874074914e+06	3.24854370e+03
   30	+4.9328307865056917e+06	3.24854370e+03
   31	+4.9328307861539908e+06	3.24854370e+03
   32	+4.9328307860168265e+06	3.24854370e+03
   33	+4.9328307859633323e+06	3.24854370e+03
   34	+4.9328307859424697e+06	3.24854370e+03
   35	+4.9328307859343337e+06	3.24854370e+03
   36	+4.9328307859311607e+06	3.24854370e+03
   37	+4.9328307859299220e+06	3.24854370e+03
   38	+4.9328307859294396e+06	3.24854370e+03
   39	+4.9328307859292515e+06	3.24854370e+03
   40	+4.9328307859291779e+06	3.24854370e+03
   41	+4.9328307859291490e+06	3.24854370e+03
Last stepsize smaller than minimum allowed. See options.minstepsize.
Total time is 3.517496 [s] (excludes statsfun)
