 iter	                cost val	     grad. norm
    0	+1.3732786258014873e+07	4.56426428e+12
    1	+1.3732786257951900e+07	4.56426428e+12
    2	+1.3732786257888924e+07	4.56426428e+12
    3	+1.3732786257825952e+07	4.56426428e+12
    4	+1.3732786257762980e+07	4.56426428e+12
    5	+1.3732786257700006e+07	4.56426428e+12
    6	+1.3732786257637031e+07	4.56426428e+12
    7	+1.3732786257574057e+07	4.56426428e+12
    8	+1.3732786257511083e+07	4.56426428e+12
    9	+1.3732786257448111e+07	4.56426428e+12
   10	+1.3732786257385138e+07	4.56426428e+12
   11	+1.3732786257322162e+07	4.56426428e+12
   12	+1.3732786257259188e+07	4.56426428e+12
   13	+1.3732786257196214e+07	4.56426428e+12
   14	+1.3732786257133244e+07	4.56426428e+12
   15	+1.3732786257070269e+07	4.56426428e+12
   16	+1.3732786257007295e+07	4.56426428e+12
   17	+1.3732786256944321e+07	4.56426428e+12
   18	+1.3732786256881347e+07	4.56426428e+12
   19	+1.3732786256818375e+07	4.56426428e+12
   20	+1.3732786256755400e+07	4.56426428e+12
   21	+1.3732786256692426e+07	4.56426428e+12
   22	+1.3732786256629452e+07	4.56426428e+12
   23	+1.3732786256566480e+07	4.56426428e+12
   24	+1.3732786256503504e+07	4.56426428e+12
   25	+1.3732786256440533e+07	4.56426428e+12
   26	+1.3732786256377559e+07	4.56426428e+12
   27	+1.3732786256314583e+07	4.56426428e+12
   28	+1.3732786256251613e+07	4.56426428e+12
   29	+1.3732786256188639e+07	4.56426428e+12
   30	+1.3732786256125662e+07	4.56426428e+12
   31	+1.3732786256062690e+07	4.56426428e+12
   32	+1.3732786255999718e+07	4.56426428e+12
   33	+1.3732786255936742e+07	4.56426428e+12
   34	+1.3732786255873770e+07	4.56426428e+12
   35	+1.3732786255810795e+07	4.56426428e+12
   36	+1.3732786255747821e+07	4.56426428e+12
   37	+1.3732786255684849e+07	4.56426428e+12
   38	+1.3732786255621875e+07	4.56426428e+12
   39	+1.3732786255558901e+07	4.56426428e+12
   40	+1.3732786255495928e+07	4.56426428e+12
   41	+1.3732786255432952e+07	4.56426428e+12
   42	+1.3732786255369980e+07	4.56426428e+12
   43	+1.3732786255307006e+07	4.56426428e+12
   44	+1.3732786255244032e+07	4.56426428e+12
   45	+1.3732786255181059e+07	4.56426428e+12
   46	+1.3732786255118085e+07	4.56426428e+12
   47	+1.3732786255055111e+07	4.56426428e+12
   48	+1.3732786254992139e+07	4.56426428e+12
   49	+1.3732786254929163e+07	4.56426428e+12
   50	+1.3732786254866190e+07	4.56426428e+12
   51	+1.3732786254803216e+07	4.56426428e+12
   52	+1.3732786254740244e+07	4.56426428e+12
   53	+1.3732786254677270e+07	4.56426428e+12
   54	+1.3732786254614297e+07	4.56426428e+12
   55	+1.3732786254551321e+07	4.56426428e+12
   56	+1.3732786254488349e+07	4.56426428e+12
   57	+1.3732786254425377e+07	4.56426428e+12
   58	+1.3732786254362404e+07	4.56426428e+12
   59	+1.3732786254299428e+07	4.56426428e+12
   60	+1.3732786254236452e+07	4.56426428e+12
   61	+1.3732786254173480e+07	4.56426428e+12
   62	+1.3732786254110508e+07	4.56426428e+12
   63	+1.3732786254047532e+07	4.56426428e+12
   64	+1.3732786253984563e+07	4.56426428e+12
   65	+1.3732786253921587e+07	4.56426428e+12
   66	+1.3732786253858611e+07	4.56426428e+12
   67	+1.3732786253795641e+07	4.56426428e+12
   68	+1.3732786253732666e+07	4.56426428e+12
   69	+1.3732786253669690e+07	4.56426428e+12
   70	+1.3732786253606718e+07	4.56426428e+12
   71	+1.3732786253543746e+07	4.56426428e+12
   72	+1.3732786253480772e+07	4.56426428e+12
   73	+1.3732786253417797e+07	4.56426428e+12
   74	+1.3732786253354825e+07	4.56426428e+12
   75	+1.3732786253291849e+07	4.56426428e+12
   76	+1.3732786253228877e+07	4.56426428e+12
   77	+1.3732786253165901e+07	4.56426428e+12
   78	+1.3732786253102928e+07	4.56426428e+12
   79	+1.3732786253039954e+07	4.56426428e+12
   80	+1.3732786252976982e+07	4.56426428e+12
   81	+1.3732786252914008e+07	4.56426428e+12
   82	+1.3732786252851035e+07	4.56426428e+12
   83	+1.3732786252788061e+07	4.56426428e+12
   84	+1.3732786252725087e+07	4.56426428e+12
   85	+1.3732786252662113e+07	4.56426428e+12
   86	+1.3732786252599139e+07	4.56426428e+12
   87	+1.3732786252536166e+07	4.56426428e+12
   88	+1.3732786252473194e+07	4.56426428e+12
   89	+1.3732786252410218e+07	4.56426428e+12
   90	+1.3732786252347246e+07	4.56426428e+12
   91	+1.3732786252284274e+07	4.56426428e+12
   92	+1.3732786252221297e+07	4.56426428e+12
   93	+1.3732786252158323e+07	4.56426428e+12
   94	+1.3732786252095351e+07	4.56426428e+12
   95	+1.3732786252032377e+07	4.56426428e+12
   96	+1.3732786251969401e+07	4.56426428e+12
   97	+1.3732786251906428e+07	4.56426428e+12
   98	+1.3732786251843454e+07	4.56426428e+12
   99	+1.3732786251780484e+07	4.56426428e+12
  100	+1.3732786251717510e+07	4.56426428e+12
  101	+1.3732786251654536e+07	4.56426428e+12
  102	+1.3732786251591563e+07	4.56426428e+12
  103	+1.3732786251528587e+07	4.56426428e+12
  104	+1.3732786251465615e+07	4.56426428e+12
  105	+1.3732786251402643e+07	4.56426427e+12
  106	+1.3732786251339668e+07	4.56426427e+12
  107	+1.3732786251276694e+07	4.56426427e+12
  108	+1.3732786251213720e+07	4.56426427e+12
  109	+1.3732786251150746e+07	4.56426427e+12
  110	+1.3732786251087772e+07	4.56426427e+12
  111	+1.3732786251024798e+07	4.56426427e+12
  112	+1.3732786250961825e+07	4.56426427e+12
  113	+1.3732786250898853e+07	4.56426427e+12
  114	+1.3732786250835875e+07	4.56426427e+12
  115	+1.3732786250772903e+07	4.56426427e+12
  116	+1.3732786250709929e+07	4.56426427e+12
  117	+1.3732786250646954e+07	4.56426427e+12
  118	+1.3732786250583984e+07	4.56426427e+12
  119	+1.3732786250521008e+07	4.56426427e+12
  120	+1.3732786250458034e+07	4.56426427e+12
