tensor_size   100   100   100

tensor_rank    15    15    15

OS    30

conjugategradient	linesearchdefault

=============> beta: 1 <==============
 iter	                cost val	     grad. norm
    0	+5.9358628433949077e+08	1.70730159e+04
    1	+5.9356921151432419e+08	1.70726533e+04
    2	+5.9350092326868165e+08	1.70712062e+04
    3	+5.9322781936617756e+08	1.70654759e+04
    4	+5.9213620176703835e+08	1.70434812e+04
    5	+5.8778329986037076e+08	1.69703292e+04
    6	+5.7063503894577956e+08	1.69035364e+04
    7	+5.0792914612390316e+08	1.81170144e+04
    8	+3.1904873644118917e+08	1.57739990e+04
    9	+8.7720687070952356e+07	8.17244553e+03
   10	+4.9646043992467336e+07	6.38429709e+03
   11	+3.2001764728215739e+07	5.22027465e+03
   12	+2.5525202129985794e+07	4.42373848e+03
   13	+6.8656549768917616e+06	2.05800106e+03
   14	+2.9239617383966632e+06	1.56955550e+03
   15	+2.1676796149357967e+06	1.22314466e+03
   16	+3.5451042743872391e+05	3.28972103e+02
   17	+1.4221430727076888e+05	1.48818415e+02
   18	+1.1653724357396062e+05	1.65510878e+02
   19	+1.1639703769605691e+05	2.09393757e+02
   20	+1.1583787463334786e+05	2.08647509e+02
   21	+1.1361838764202128e+05	2.05558163e+02
   22	+1.0501881595526825e+05	1.93250732e+02
   23	+7.5295341074342636e+04	1.46768517e+02
   24	+3.7475570757876267e+04	1.38112039e+02
   25	+3.3491815216361414e+04	1.21018314e+02
   26	+2.1351858851909732e+04	9.30958508e+01
   27	+6.5645291137436925e+03	7.50462217e+01
   28	+4.9130447721617384e+03	4.85108894e+01
   29	+1.1030509069808472e+03	2.52434140e+01
   30	+2.3961031668359817e+02	1.33429867e+01
   31	+2.4716609876006398e+01	4.23205601e+00
   32	+3.8806806089118870e+00	1.75029616e+00
   33	+1.4430911774988626e+00	1.08238355e+00
   34	+8.6938356831678454e-01	8.88001954e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 61.307161 [s] (excludes statsfun)


=============> beta: 0.3 <==============
 iter	                cost val	     grad. norm
    0	+5.9358628433949077e+08	1.70730159e+04
    1	+5.9356921151432419e+08	1.70726533e+04
    2	+5.9350092326868165e+08	1.70712062e+04
    3	+5.9322781936617756e+08	1.70654759e+04
    4	+5.9213620176703835e+08	1.70434812e+04
    5	+5.8778329986037076e+08	1.69703292e+04
    6	+5.7063503894577956e+08	1.69035364e+04
    7	+5.0767019963806438e+08	1.81534016e+04
    8	+3.1855504719524479e+08	1.59731939e+04
    9	+1.2633763250642040e+08	1.00902005e+04
   10	+6.8329963444407880e+07	7.76970899e+03
   11	+4.1789735378660247e+07	5.94047287e+03
   12	+9.4284888128929622e+06	2.77235947e+03
   13	+6.6261796119444314e+06	2.37705172e+03
   14	+7.2408677711823327e+05	6.20051155e+02
   15	+2.6560930236847576e+05	3.51547137e+02
   16	+1.5487851880243898e+05	2.26732000e+02
   17	+1.0666808989830461e+05	2.09729397e+02
   18	+9.5860388633232331e+04	2.48969404e+02
   19	+5.9037095555102373e+04	1.83048486e+02
   20	+5.3479138249889860e+04	2.18053991e+02
   21	+3.3677835227116157e+04	1.72005001e+02
   22	+1.0200383277579705e+04	9.87279110e+01
   23	+1.9791163458211829e+03	4.40870996e+01
   24	+1.7731626611895007e+02	1.15536199e+01
   25	+6.0318306395202676e+01	8.17705839e+00
   26	+2.1017675999326384e+00	1.15928446e+00
   27	+3.4183442446897438e-01	4.48299347e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 47.957911 [s] (excludes statsfun)


=============> beta: 0.09 <==============
 iter	                cost val	     grad. norm
    0	+5.9358628433949077e+08	1.70730159e+04
    1	+5.9356921151432419e+08	1.70726533e+04
    2	+5.9350092326868165e+08	1.70712062e+04
    3	+5.9322781936617756e+08	1.70654759e+04
    4	+5.9213620176703835e+08	1.70434812e+04
    5	+5.8778329986037076e+08	1.69703292e+04
    6	+5.7063503894577956e+08	1.69035364e+04
    7	+5.0758571929468358e+08	1.81664434e+04
    8	+3.1960899641060948e+08	1.60704730e+04
    9	+1.3917154541974616e+08	1.06596311e+04
   10	+2.6940488480567873e+07	4.75027628e+03
   11	+1.4353929209100865e+06	8.76389819e+02
   12	+4.5487043103206786e+05	5.28754066e+02
   13	+2.1766322587526409e+05	3.04095166e+02
   14	+1.1231391833804289e+05	1.50259231e+02
   15	+8.3754510015164982e+04	1.79386285e+02
   16	+6.1201847908325857e+04	1.82862953e+02
   17	+3.3951140593543016e+04	1.36704358e+02
   18	+2.1330074771939355e+04	1.20863189e+02
   19	+1.6751271039721229e+04	1.26217606e+02
   20	+4.3047778284769665e+03	4.87389813e+01
   21	+1.8252696638636362e+03	3.34711218e+01
   22	+1.6990103781514949e+03	4.04682224e+01
   23	+1.2372500841403480e+03	3.36503149e+01
   24	+2.0525135625682054e+02	9.27747032e+00
   25	+4.0442953578910050e+01	4.97951455e+00
   26	+8.3834244092189394e+00	2.82155798e+00
   27	+6.2191619897707762e-01	5.62901695e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 49.314470 [s] (excludes statsfun)


=============> beta: 0.027 <==============
 iter	                cost val	     grad. norm
    0	+5.9358628433949077e+08	1.70730159e+04
    1	+5.9356921151432419e+08	1.70726533e+04
    2	+5.9350092326868165e+08	1.70712062e+04
    3	+5.9322781936617756e+08	1.70654759e+04
    4	+5.9213620176703835e+08	1.70434812e+04
    5	+5.8778329986037076e+08	1.69703292e+04
    6	+5.7063503894577956e+08	1.69035364e+04
