tensor_size   150   150   150

tensor_rank     5     5     5

OS    10

conjugategradient	linesearchdefault

=============> beta: 1 <==============
 iter	                cost val	     grad. norm
    0	+2.9483897987005173e+05	6.35046047e+01
    1	+2.9477548008018394e+05	6.34964295e+01
    2	+2.9452155812261946e+05	6.34638013e+01
    3	+2.9350711599778908e+05	6.33344549e+01
    4	+2.8946992460441770e+05	6.28360313e+01
    5	+2.7368167251116876e+05	6.11626870e+01
    6	+2.1619773212422698e+05	5.74202233e+01
    7	+7.0298652648410251e+04	3.61475091e+01
    8	+1.6433590406073592e+04	1.98825173e+01
    9	+5.0498227947783498e+03	1.04967336e+01
   10	+1.3793408872048976e+03	5.42398684e+00
   11	+9.5530998224421660e+02	3.78293748e+00
   12	+6.9744554589792142e+02	2.96938943e+00
   13	+6.1863332823405005e+02	2.46703769e+00
   14	+4.1973626018884875e+02	1.44386940e+00
   15	+3.4395780917246736e+02	1.66471171e+00
   16	+3.0489632939447733e+02	1.42179693e+00
   17	+1.9212190637198330e+02	1.03696660e+00
   18	+9.9749800036242036e+01	1.03112300e+00
   19	+7.9122016104377991e+01	1.03091496e+00
   20	+3.4656891623778861e+01	6.56580231e-01
   21	+1.8899304717955470e+01	6.07628378e-01
   22	+1.4971714327149426e+01	4.74925310e-01
   23	+4.0686588777705417e+00	2.22496969e-01
   24	+1.2761326520924210e+00	1.48192595e-01
   25	+9.9127421341799737e-01	1.20386293e-01
   26	+1.9990213062822937e-01	5.08487094e-02
   27	+1.5088810928745519e-02	1.85896695e-02
User defined stopfun criterion triggered. See options.stopfun.
Total time is 0.963698 [s] (excludes statsfun)


=============> beta: 0.3 <==============
 iter	                cost val	     grad. norm
    0	+2.9483897987005173e+05	6.35046047e+01
    1	+2.9477548008018394e+05	6.34964295e+01
    2	+2.9452155812261946e+05	6.34638013e+01
    3	+2.9350711599778908e+05	6.33344549e+01
    4	+2.8946992460441770e+05	6.28360313e+01
    5	+2.7368167251116876e+05	6.11626870e+01
    6	+2.1619773212422698e+05	5.74202233e+01
    7	+7.1041176884276269e+04	3.63845221e+01
    8	+1.6332091508248170e+04	1.96766395e+01
    9	+8.2292244569860632e+03	1.79993050e+01
   10	+3.1736797706887774e+03	8.41828922e+00
   11	+1.3712862729578446e+03	5.75190685e+00
   12	+8.4176014903892815e+02	4.22023569e+00
   13	+6.1317598628218570e+02	4.99685787e+00
   14	+5.3507682438129780e+02	2.80405043e+00
   15	+4.3665758163124195e+02	1.96189848e+00
   16	+4.2641756585963509e+02	2.64272310e+00
   17	+3.9860013637687609e+02	1.53434399e+00
   18	+3.2960360094456507e+02	1.26681077e+00
   19	+2.8167912062577955e+02	1.28458996e+00
   20	+2.0760738250827103e+02	1.19840032e+00
   21	+1.4132113794440244e+02	1.12445216e+00
   22	+8.7309335953184757e+01	9.20523496e-01
   23	+5.3601331029146657e+01	8.77651629e-01
   24	+2.6747055950239904e+01	6.02754362e-01
   25	+2.1999214388192954e+01	6.90854932e-01
   26	+8.9794743238635029e+00	3.49201543e-01
   27	+2.7493767816844787e+00	2.08143100e-01
   28	+1.6734003171483014e+00	2.38037950e-01
   29	+4.0956419450454262e-01	1.15956566e-01
   30	+2.1275567025807446e-01	8.91744250e-02
   31	+1.8618065897155106e-01	8.54930637e-02
